unit_price,customer_phone,category,order_id,product_name,source_file,unit_cost,order_date,profit,discount_pct,quantity,total_price
96.58,Jamal Schmidt,Furniture,ORD-10402,Folding Table Portable,global_ecommerce_sales.csv,10.22,2023-01-14,221.57,0,6,579.48
27.9,Sarah Davis,Clothing & Accessories,ORD-10560,Wool Blend Scarf,global_ecommerce_sales.csv,8.93,2023-01-14,3.62,5,1,26.5
9.91,Clara Smith,Office Supplies,ORD-10686,Whiteboard Markers Set 8,global_ecommerce_sales.csv,20.73,2023-01-15,-5.87,25,5,37.16
47.0,Robert Khan,Clothing & Accessories,ORD-11718,Wool Blend Scarf,global_ecommerce_sales.csv,14.83,2023-01-15,22.77,10,2,84.6
32.91,Jennifer Russo,Technology,ORD-10736,Smart LED Desk Lamp,global_ecommerce_sales.csv,7.55,2023-01-17,22.07,0,2,65.82
11.41,Yuki Costa,Office Supplies,ORD-10846,Sticky Notes Multicolor 6-Pack,global_ecommerce_sales.csv,15.26,2023-01-17,-3.85,5,2,21.68
333.59,Amir Oliveira,Furniture,ORD-11128,Standing Desk Converter,global_ecommerce_sales.csv,9.02,2023-01-18,491.36,10,5,1501.15
10.6,Ivan Zhang,Office Supplies,ORD-10279,Desk Calendar 2025,global_ecommerce_sales.csv,18.26,2023-01-20,7.71,20,7,59.36
67.38,Sakura Martinez,Furniture,ORD-10344,Floating Wall Shelves Set,global_ecommerce_sales.csv,11.0,2023-01-20,36.16,5,2,128.02
121.25,Mary Davis,Technology,ORD-10589,Portable External SSD 1TB,global_ecommerce_sales.csv,18.53,2023-01-20,199.72,0,4,485.0
19.92,Karen Rossi,Office Supplies,ORD-11029,Whiteboard Markers Set 8,global_ecommerce_sales.csv,16.01,2023-01-20,27.81,0,4,79.68
34.98,Chen Singh,Technology,ORD-11026,Smart LED Desk Lamp,global_ecommerce_sales.csv,14.67,2023-01-22,27.3,5,3,99.69
37.18,Wei Müller,Furniture,ORD-10968,Floating Wall Shelves Set,global_ecommerce_sales.csv,12.28,2023-01-23,39.77,5,4,141.28
8.54,Raj Costa,Office Supplies,ORD-11723,Stapler Full-Size,global_ecommerce_sales.csv,7.97,2023-01-23,-4.55,15,1,7.26
8.53,Hanna Sato,Office Supplies,ORD-10408,Paper Clips Box 500pc,global_ecommerce_sales.csv,9.3,2023-01-24,-0.77,5,2,16.21
57.87,Sarah Zhang,Clothing & Accessories,ORD-11828,Canvas Messenger Bag,global_ecommerce_sales.csv,13.88,2023-01-24,55.56,20,4,185.18
15.41,Linda Russo,Office Supplies,ORD-11035,Whiteboard Markers Set 8,global_ecommerce_sales.csv,21.9,2023-01-25,33.57,10,8,110.95
167.57,Chen Laurent,Technology,ORD-10599,Mechanical Gaming Keyboard,global_ecommerce_sales.csv,6.21,2023-01-26,60.82,5,1,159.19
212.13,David Anderson,Furniture,ORD-10780,Ergonomic Office Chair,global_ecommerce_sales.csv,14.72,2023-01-27,154.98,0,2,424.26
9.02,Ayumi Tanaka,Office Supplies,ORD-10636,Ballpoint Pen Pack 12,global_ecommerce_sales.csv,17.7,2023-01-28,0.34,15,5,38.33
55.78,Susan Johansson,Technology,ORD-10694,Webcam HD 1080p,global_ecommerce_sales.csv,9.38,2023-01-28,65.92,0,3,167.34
10.25,Mary Ferrari,Office Supplies,ORD-10711,Premium Notebook Set A5,global_ecommerce_sales.csv,18.89,2023-01-28,9.3,0,5,51.25
54.25,Michael Harris,Clothing & Accessories,ORD-10383,Canvas Messenger Bag,global_ecommerce_sales.csv,11.58,2023-01-29,15.54,0,1,54.25
16.61,Priya Martin,Office Supplies,ORD-10435,Stapler Full-Size,global_ecommerce_sales.csv,8.4,2023-01-30,24.82,5,4,63.12
18.32,Kenji Nilsson,Clothing & Accessories,ORD-10017,Silk Tie Collection,global_ecommerce_sales.csv,12.91,2023-01-31,14.57,0,3,54.96
53.6,Amir Hassan,Clothing & Accessories,ORD-11220,Cotton Formal Shirt,global_ecommerce_sales.csv,8.52,2023-01-31,98.68,0,4,214.4
429.23,Ahmed Garcia,Furniture,ORD-11237,Corner L-Shaped Desk,global_ecommerce_sales.csv,12.2,2023-01-31,588.72,5,4,1631.07
28.99,Li Wang,Technology,ORD-11655,USB-C Hub Multiport Adapter,global_ecommerce_sales.csv,12.7,2023-01-31,7.59,10,2,52.18
8.65,Ava Martinez,Office Supplies,ORD-11858,Binder Clips Assorted 48pc,global_ecommerce_sales.csv,17.04,2023-01-31,-4.07,5,3,24.65
19.94,Ahmed Clark,Technology,ORD-10787,Tablet Stand Holder,global_ecommerce_sales.csv,8.61,2023-02-01,18.31,0,3,59.82
32.72,William Sharma,Technology,ORD-10950,Webcam HD 1080p,global_ecommerce_sales.csv,10.11,2023-02-02,68.41,5,6,186.5
25.43,Felix Smith,Clothing & Accessories,ORD-10374,Canvas Messenger Bag,global_ecommerce_sales.csv,23.56,2023-02-03,113.76,5,12,289.9
274.83,Yuki Kumar,Furniture,ORD-10745,Standing Desk Converter,global_ecommerce_sales.csv,10.28,2023-02-03,319.52,10,4,989.39
60.16,Jamal Rossi,Furniture,ORD-11670,Floating Wall Shelves Set,global_ecommerce_sales.csv,10.85,2023-02-03,4.19,15,1,51.14
8.37,Maria Sharma,Office Supplies,ORD-11158,Desk Calendar 2025,global_ecommerce_sales.csv,24.19,2023-02-04,9.29,15,10,71.14
4.78,Karen Martinez,Office Supplies,ORD-11430,Paper Clips Box 500pc,global_ecommerce_sales.csv,11.84,2023-02-04,-9.69,10,1,4.3
79.23,Sakura Thomas,Technology,ORD-11760,Webcam HD 1080p,global_ecommerce_sales.csv,19.84,2023-02-04,146.54,15,7,471.42
188.93,Hans Chen,Furniture,ORD-10720,Bookshelf 5-Tier,global_ecommerce_sales.csv,9.2,2023-02-05,56.92,5,1,179.48
138.7,Lucas Sharma,Clothing & Accessories,ORD-11218,Business Casual Blazer,global_ecommerce_sales.csv,17.36,2023-02-05,468.09,15,10,1178.95
8.96,Giulia Leroy,Clothing & Accessories,ORD-10384,Sports Water Bottle 750ml,global_ecommerce_sales.csv,11.08,2023-02-07,-6.6,0,1,8.96
173.37,Felix Yamamoto,Technology,ORD-11503,Noise Cancelling Earbuds,global_ecommerce_sales.csv,10.89,2023-02-07,145.14,0,2,346.74
63.94,Layla Khan,Technology,ORD-11711,Noise Cancelling Earbuds,global_ecommerce_sales.csv,6.86,2023-02-07,15.52,10,1,57.55
64.55,Ava Jones,Technology,ORD-10098,Webcam HD 1080p,global_ecommerce_sales.csv,13.01,2023-02-08,54.76,10,3,174.28
14.53,Sakura Martin,Office Supplies,ORD-10314,Stapler Full-Size,global_ecommerce_sales.csv,11.87,2023-02-08,24.46,5,5,69.02
9.63,Maria Laurent,Office Supplies,ORD-10322,Paper Clips Box 500pc,global_ecommerce_sales.csv,10.44,2023-02-08,-6.1,10,1,8.67
118.02,Zara Suzuki,Furniture,ORD-11507,Bookshelf 5-Tier,global_ecommerce_sales.csv,7.9,2023-02-09,180.93,0,4,472.08
126.93,Zara Costa,Furniture,ORD-11683,Folding Table Portable,global_ecommerce_sales.csv,23.14,2023-02-09,433.81,0,9,1142.37
289.71,Olga Kim,Furniture,ORD-10642,Standing Desk Converter,global_ecommerce_sales.csv,16.44,2023-02-10,678.86,10,8,2085.91
81.58,Hans Kim,Clothing & Accessories,ORD-11011,Travel Backpack 30L,global_ecommerce_sales.csv,11.8,2023-02-10,45.31,15,2,138.69
111.98,Isabella White,Technology,ORD-11270,Portable External SSD 1TB,global_ecommerce_sales.csv,24.38,2023-02-10,378.75,5,9,957.43
45.99,Emma Oliveira,Clothing & Accessories,ORD-11659,Leather Wallet Minimalist,global_ecommerce_sales.csv,12.68,2023-02-10,56.3,0,3,137.97
4.96,Michael Zhang,Office Supplies,ORD-10256,Paper Clips Box 500pc,global_ecommerce_sales.csv,7.09,2023-02-11,-0.4,10,3,13.39
80.13,Hanna Ahmed,Clothing & Accessories,ORD-10527,Travel Backpack 30L,global_ecommerce_sales.csv,18.17,2023-02-12,142.09,25,8,480.78
43.57,Patricia Müller,Clothing & Accessories,ORD-11082,Wool Blend Scarf,global_ecommerce_sales.csv,10.06,2023-02-12,9.54,5,1,41.39
143.15,Kenji Zhang,Technology,ORD-10473,Noise Cancelling Earbuds,global_ecommerce_sales.csv,8.58,2023-02-15,105.94,5,2,271.99
126.81,Ayumi Martinez,Furniture,ORD-11304,Folding Table Portable,global_ecommerce_sales.csv,22.05,2023-02-15,282.29,10,8,913.03
48.95,Ayumi Nilsson,Technology,ORD-11560,Webcam HD 1080p,global_ecommerce_sales.csv,12.32,2023-02-16,9.71,0,1,48.95
47.62,Mia Ali,Furniture,ORD-11196,Monitor Riser Wood,global_ecommerce_sales.csv,8.3,2023-02-17,25.04,5,2,90.48
238.37,Lucas Schmidt,Technology,ORD-11355,Wireless Bluetooth Headphones,global_ecommerce_sales.csv,11.03,2023-02-17,60.48,15,1,202.61
39.22,Barbara Davis,Clothing & Accessories,ORD-11569,Cotton Formal Shirt,global_ecommerce_sales.csv,17.7,2023-02-17,60.74,10,5,176.49
72.23,Jessica Wang,Clothing & Accessories,ORD-10916,Business Casual Blazer,global_ecommerce_sales.csv,13.08,2023-02-18,30.26,20,2,115.57
35.6,Jamal Zhang,Clothing & Accessories,ORD-10837,Leather Belt Classic,global_ecommerce_sales.csv,15.03,2023-02-19,33.03,5,3,101.46
4.37,Felix Johansson,Office Supplies,ORD-10855,Sticky Notes Multicolor 6-Pack,global_ecommerce_sales.csv,11.28,2023-02-19,-2.54,15,5,18.57
20.92,Priya Wang,Clothing & Accessories,ORD-11065,Silk Tie Collection,global_ecommerce_sales.csv,10.6,2023-02-19,10.32,0,2,41.84
54.4,Sophie Park,Clothing & Accessories,ORD-11922,Leather Belt Classic,global_ecommerce_sales.csv,7.53,2023-02-20,90.39,5,4,206.72
72.89,Ayumi Khan,Technology,ORD-10594,Smart LED Desk Lamp,global_ecommerce_sales.csv,14.27,2023-02-21,248.13,0,8,583.12
54.39,Michael Davis,Furniture,ORD-11419,Desk Organizer Set,global_ecommerce_sales.csv,17.34,2023-02-21,113.2,0,6,326.34
472.56,Felix Thompson,Furniture,ORD-11624,Ergonomic Office Chair,global_ecommerce_sales.csv,19.09,2023-02-21,1115.05,0,6,2835.36
133.63,Hans Johnson,Technology,ORD-11855,Noise Cancelling Earbuds,global_ecommerce_sales.csv,9.94,2023-02-21,50.19,0,1,133.63
32.06,Jennifer Moreau,Technology,ORD-10843,Tablet Stand Holder,global_ecommerce_sales.csv,7.82,2023-02-22,21.03,0,2,64.12
36.01,Mia Müller,Technology,ORD-11306,Wireless Ergonomic Mouse,global_ecommerce_sales.csv,10.44,2023-02-22,32.77,15,4,122.43
7.24,Priya Martinez,Office Supplies,ORD-10392,Paper Clips Box 500pc,global_ecommerce_sales.csv,8.85,2023-02-23,4.18,10,4,26.06
60.99,Fatima Suzuki,Technology,ORD-11302,Wireless Ergonomic Mouse,global_ecommerce_sales.csv,12.03,2023-02-23,70.31,0,3,182.97
7.14,Zara White,Office Supplies,ORD-11205,Binder Clips Assorted 48pc,global_ecommerce_sales.csv,12.59,2023-02-24,10.97,0,6,42.84
8.06,Felix Moreau,Office Supplies,ORD-10892,Sticky Notes Multicolor 6-Pack,global_ecommerce_sales.csv,10.44,2023-02-25,-3.99,15,2,13.7
31.71,Ethan Hassan,Clothing & Accessories,ORD-11175,Travel Backpack 30L,global_ecommerce_sales.csv,10.63,2023-02-25,17.91,5,2,60.25
82.3,Ingrid Schmidt,Furniture,ORD-11598,Folding Table Portable,global_ecommerce_sales.csv,12.43,2023-02-26,185.09,0,6,493.8
77.48,Mia Harris,Technology,ORD-10113,Webcam HD 1080p,global_ecommerce_sales.csv,7.16,2023-02-27,27.71,0,1,77.48
7.24,Sophie Harris,Office Supplies,ORD-10646,Paper Clips Box 500pc,global_ecommerce_sales.csv,18.95,2023-02-27,16.89,0,9,65.16
5.63,Michael Hassan,Office Supplies,ORD-11378,Ballpoint Pen Pack 12,global_ecommerce_sales.csv,31.26,2023-02-27,2.52,5,12,64.18
26.25,Oscar Jones,Clothing & Accessories,ORD-11900,Silk Tie Collection,global_ecommerce_sales.csv,6.27,2023-02-27,14.73,10,2,47.25
135.29,Giulia Ali,Technology,ORD-11523,Noise Cancelling Earbuds,global_ecommerce_sales.csv,10.07,2023-03-01,111.69,0,2,270.58
24.66,Fatima Rossi,Furniture,ORD-10233,Desk Organizer Set,global_ecommerce_sales.csv,11.27,2023-03-02,-1.41,0,1,24.66
165.1,Yuki Patel,Technology,ORD-10605,Mechanical Gaming Keyboard,global_ecommerce_sales.csv,15.44,2023-03-02,248.72,5,4,627.38
11.57,Mia Clark,Office Supplies,ORD-10907,Stapler Full-Size,global_ecommerce_sales.csv,8.09,2023-03-02,-1.14,25,2,17.36
113.52,Mary Smith,Furniture,ORD-11202,Mesh Back Task Chair,global_ecommerce_sales.csv,7.35,2023-03-02,26.71,10,1,102.17
9.18,Ayumi Suzuki,Office Supplies,ORD-11294,Whiteboard Markers Set 8,global_ecommerce_sales.csv,12.6,2023-03-02,0.26,20,4,29.38
201.32,Elizabeth Moreau,Technology,ORD-11673,Wireless Bluetooth Headphones,global_ecommerce_sales.csv,13.72,2023-03-02,167.47,0,2,402.64
90.24,Jamal Martinez,Technology,ORD-11217,Mechanical Gaming Keyboard,global_ecommerce_sales.csv,18.86,2023-03-04,265.39,10,9,730.94
18.57,Barbara Ali,Office Supplies,ORD-10246,Stapler Full-Size,global_ecommerce_sales.csv,9.91,2023-03-05,0.3,0,1,18.57
29.57,Lucas Anderson,Clothing & Accessories,ORD-11135,Polarized Sunglasses,global_ecommerce_sales.csv,10.88,2023-03-06,24.6,10,3,79.84
11.17,Omar Garcia,Office Supplies,ORD-10620,Premium Notebook Set A5,global_ecommerce_sales.csv,10.07,2023-03-07,-6.16,20,1,8.94
20.92,Clara Miller,Office Supplies,ORD-11279,Tape Dispenser Heavy Duty,global_ecommerce_sales.csv,18.97,2023-03-07,73.08,0,8,167.36
11.95,David Harris,Office Supplies,ORD-10124,Whiteboard Markers Set 8,global_ecommerce_sales.csv,14.79,2023-03-08,12.09,10,5,53.77
59.88,James Chen,Furniture,ORD-10242,Folding Table Portable,global_ecommerce_sales.csv,9.34,2023-03-08,26.59,20,3,143.71
99.69,Ahmed Harris,Furniture,ORD-10915,Floating Wall Shelves Set,global_ecommerce_sales.csv,18.01,2023-03-08,221.25,0,6,598.14
354.67,Elizabeth Ahmed,Furniture,ORD-11632,Ergonomic Office Chair,global_ecommerce_sales.csv,12.41,2023-03-08,111.73,5,1,336.94
22.67,Fatima Kumar,Office Supplies,ORD-11184,Premium Notebook Set A5,global_ecommerce_sales.csv,14.32,2023-03-09,35.55,0,4,90.68
5.48,Mia Martin,Office Supplies,ORD-10874,Binder Clips Assorted 48pc,global_ecommerce_sales.csv,12.0,2023-03-10,-1.04,5,4,20.82
107.75,Robert Robinson,Technology,ORD-11668,Mechanical Gaming Keyboard,global_ecommerce_sales.csv,14.93,2023-03-10,286.77,10,8,775.8
11.11,Liam Jones,Office Supplies,ORD-11260,Binder Clips Assorted 48pc,global_ecommerce_sales.csv,8.11,2023-03-11,-2.0,0,1,11.11
27.32,Emma Johnson,Technology,ORD-10953,Smart LED Desk Lamp,global_ecommerce_sales.csv,10.1,2023-03-12,9.03,10,2,49.18
19.74,Mia Santos,Office Supplies,ORD-10521,Premium Notebook Set A5,global_ecommerce_sales.csv,17.03,2023-03-13,37.26,0,5,98.7
70.31,Susan Kim,Clothing & Accessories,ORD-11545,Travel Backpack 30L,global_ecommerce_sales.csv,15.46,2023-03-13,90.0,0,3,210.93
149.77,Amir Khan,Technology,ORD-10070,Portable External SSD 1TB,global_ecommerce_sales.csv,14.48,2023-03-15,247.62,10,5,673.97
54.94,Barbara Leroy,Technology,ORD-11006,Mechanical Gaming Keyboard,global_ecommerce_sales.csv,8.77,2023-03-15,40.68,0,2,109.88
61.18,Thomas Patel,Clothing & Accessories,ORD-10744,Polarized Sunglasses,global_ecommerce_sales.csv,14.66,2023-03-16,107.7,10,5,275.31
14.59,Isabella Martin,Office Supplies,ORD-10861,Binder Clips Assorted 48pc,global_ecommerce_sales.csv,12.25,2023-03-16,3.8,0,2,29.18
174.46,Wei Chen,Technology,ORD-10676,Mechanical Gaming Keyboard,global_ecommerce_sales.csv,14.65,2023-03-17,220.87,0,3,523.38
28.85,Karen Jackson,Clothing & Accessories,ORD-11064,Polarized Sunglasses,global_ecommerce_sales.csv,10.81,2023-03-18,-0.72,15,1,24.52
323.91,Felix Santos,Furniture,ORD-11786,Corner L-Shaped Desk,global_ecommerce_sales.csv,9.35,2023-03-18,233.58,15,3,825.97
11.39,Mia Weber,Office Supplies,ORD-10637,Highlighters Neon Pack 6,global_ecommerce_sales.csv,8.57,2023-03-19,3.96,0,2,22.78
64.1,Jessica Anderson,Furniture,ORD-10863,Floating Wall Shelves Set,global_ecommerce_sales.csv,17.49,2023-03-21,94.68,5,5,304.47
6.29,Fatima Li,Office Supplies,ORD-11917,Desk Calendar 2025,global_ecommerce_sales.csv,7.22,2023-03-22,-0.3,0,2,12.58
90.87,Pierre Yamamoto,Furniture,ORD-10020,Folding Table Portable,global_ecommerce_sales.csv,14.68,2023-03-23,58.02,0,2,181.74
334.56,Hanna Jones,Furniture,ORD-11090,Corner L-Shaped Desk,global_ecommerce_sales.csv,35.07,2023-03-23,1370.08,5,12,3813.98
68.83,Felix Park,Furniture,ORD-11712,Floating Wall Shelves Set,global_ecommerce_sales.csv,19.78,2023-03-23,90.35,0,4,275.32
10.37,Mia Ferrari,Clothing & Accessories,ORD-10887,Sports Water Bottle 750ml,global_ecommerce_sales.csv,12.31,2023-03-24,-1.94,0,2,20.74
52.89,Omar Leroy,Clothing & Accessories,ORD-11156,Cotton Formal Shirt,global_ecommerce_sales.csv,6.27,2023-03-25,46.62,0,2,105.78
30.48,Carlos Smith,Furniture,ORD-11633,Desk Organizer Set,global_ecommerce_sales.csv,29.96,2023-03-25,104.15,0,11,335.28
24.22,Barbara Russo,Clothing & Accessories,ORD-10103,Silk Tie Collection,global_ecommerce_sales.csv,8.87,2023-03-26,23.83,5,3,69.03
239.45,Fatima Singh,Technology,ORD-10132,Wireless Bluetooth Headphones,global_ecommerce_sales.csv,14.61,2023-03-26,464.29,5,5,1137.39
210.65,Olga Russo,Furniture,ORD-11007,Filing Cabinet 3-Drawer,global_ecommerce_sales.csv,11.11,2023-03-26,325.93,0,4,842.6
32.74,Emma Pereira,Clothing & Accessories,ORD-10395,Wool Blend Scarf,global_ecommerce_sales.csv,19.15,2023-03-27,98.71,10,9,265.19
135.29,Thomas Chen,Clothing & Accessories,ORD-11318,Business Casual Blazer,global_ecommerce_sales.csv,9.08,2023-03-27,153.26,10,3,365.28
30.52,Carlos Anderson,Clothing & Accessories,ORD-10252,Polarized Sunglasses,global_ecommerce_sales.csv,21.14,2023-03-29,70.42,0,6,183.12
113.34,Ayumi Johnson,Technology,ORD-10450,Noise Cancelling Earbuds,global_ecommerce_sales.csv,8.19,2023-03-29,127.82,15,4,385.36
11.27,Hans Santos,Office Supplies,ORD-11088,Premium Notebook Set A5,global_ecommerce_sales.csv,12.0,2023-03-29,16.17,5,5,53.53
5.67,Thomas Oliveira,Office Supplies,ORD-11452,Paper Clips Box 500pc,global_ecommerce_sales.csv,5.95,2023-03-29,-3.68,15,1,4.82
116.12,Oscar Taylor,Technology,ORD-11478,Portable External SSD 1TB,global_ecommerce_sales.csv,10.18,2023-03-29,30.46,10,1,104.51
85.63,Emma Brown,Technology,ORD-11231,Portable External SSD 1TB,global_ecommerce_sales.csv,8.86,2023-03-30,25.39,5,1,81.35
199.74,Susan White,Furniture,ORD-11479,Filing Cabinet 3-Drawer,global_ecommerce_sales.csv,9.67,2023-03-31,30.28,20,1,159.79
34.22,Nadia Weber,Technology,ORD-10821,Smart LED Desk Lamp,global_ecommerce_sales.csv,9.22,2023-04-01,21.58,0,2,68.44
37.69,James Anderson,Clothing & Accessories,ORD-11766,Cotton Formal Shirt,global_ecommerce_sales.csv,7.34,2023-04-01,15.28,30,3,79.15
42.86,Olga Zhang,Clothing & Accessories,ORD-11000,Cotton Formal Shirt,global_ecommerce_sales.csv,12.14,2023-04-02,7.15,5,1,40.72
24.85,Nadia Santos,Technology,ORD-11002,Tablet Stand Holder,global_ecommerce_sales.csv,15.38,2023-04-02,14.44,15,4,84.49
241.26,Lucas Kim,Furniture,ORD-11631,Standing Desk Converter,global_ecommerce_sales.csv,14.56,2023-04-02,564.46,0,6,1447.56
67.62,Hans Laurent,Furniture,ORD-11784,Floating Wall Shelves Set,global_ecommerce_sales.csv,11.63,2023-04-02,15.42,0,1,67.62
268.98,William Nilsson,Furniture,ORD-10578,Ergonomic Office Chair,global_ecommerce_sales.csv,8.56,2023-04-03,99.03,0,1,268.98
9.65,James Sharma,Office Supplies,ORD-10306,Ballpoint Pen Pack 12,global_ecommerce_sales.csv,10.62,2023-04-04,3.85,5,3,27.5
139.15,Ava Ferrari,Technology,ORD-10532,Noise Cancelling Earbuds,global_ecommerce_sales.csv,12.48,2023-04-04,98.83,5,2,264.38
15.49,Priya Zhang,Office Supplies,ORD-10903,Desk Calendar 2025,global_ecommerce_sales.csv,6.07,2023-04-04,7.87,10,2,27.88
25.63,Richard Harris,Technology,ORD-11253,Tablet Stand Holder,global_ecommerce_sales.csv,17.72,2023-04-04,28.41,15,6,130.71
13.0,Richard Ali,Office Supplies,ORD-11610,Stapler Full-Size,global_ecommerce_sales.csv,5.81,2023-04-04,0.69,5,1,12.35
252.68,Richard Müller,Furniture,ORD-10071,Ergonomic Office Chair,global_ecommerce_sales.csv,8.12,2023-04-05,194.02,0,2,505.36
20.81,Diego Johansson,Technology,ORD-10207,Wireless Ergonomic Mouse,global_ecommerce_sales.csv,20.3,2023-04-05,54.62,0,8,166.48
12.65,Jamal Ferrari,Office Supplies,ORD-11995,Binder Clips Assorted 48pc,global_ecommerce_sales.csv,12.32,2023-04-05,-2.21,15,2,21.5
83.46,Li Pereira,Clothing & Accessories,ORD-10176,Canvas Messenger Bag,global_ecommerce_sales.csv,16.07,2023-04-06,109.12,0,3,250.38
57.89,Olga Leroy,Technology,ORD-11066,Laptop Stand Adjustable,global_ecommerce_sales.csv,9.48,2023-04-07,59.99,5,3,164.99
133.59,Michael Yamamoto,Technology,ORD-11988,Mechanical Gaming Keyboard,global_ecommerce_sales.csv,12.48,2023-04-07,47.64,0,1,133.59
9.89,Michael Ferrari,Office Supplies,ORD-10274,Binder Clips Assorted 48pc,global_ecommerce_sales.csv,10.9,2023-04-09,-5.95,5,1,9.4
17.86,Priya Park,Office Supplies,ORD-10840,Tape Dispenser Heavy Duty,global_ecommerce_sales.csv,11.87,2023-04-09,41.71,5,6,101.8
58.82,Olga Hassan,Furniture,ORD-11333,Desk Organizer Set,global_ecommerce_sales.csv,13.12,2023-04-09,57.46,10,4,211.75
63.4,Maria Schmidt,Technology,ORD-11079,Laptop Stand Adjustable,global_ecommerce_sales.csv,12.26,2023-04-10,35.29,20,3,152.16
133.59,Maria Martinez,Technology,ORD-11868,Mechanical Gaming Keyboard,global_ecommerce_sales.csv,6.48,2023-04-10,40.28,10,1,120.23
244.78,Hans Fischer,Furniture,ORD-11664,Mesh Back Task Chair,global_ecommerce_sales.csv,9.82,2023-04-13,137.04,10,2,440.6
13.89,Lucas Chen,Office Supplies,ORD-11912,Whiteboard Markers Set 8,global_ecommerce_sales.csv,18.26,2023-04-13,12.3,0,4,55.56
4.54,Priya Jones,Office Supplies,ORD-11921,Sticky Notes Multicolor 6-Pack,global_ecommerce_sales.csv,13.77,2023-04-14,-8.78,0,2,9.08
257.6,Sophie Thomas,Furniture,ORD-10551,Standing Desk Converter,global_ecommerce_sales.csv,19.79,2023-04-15,134.77,25,4,772.8
55.0,Jessica Sato,Clothing & Accessories,ORD-10091,Travel Backpack 30L,global_ecommerce_sales.csv,9.81,2023-04-16,14.94,5,1,52.25
8.66,Giulia Brown,Office Supplies,ORD-10434,Paper Clips Box 500pc,global_ecommerce_sales.csv,11.66,2023-04-16,5.66,5,4,32.91
94.43,Li Taylor,Technology,ORD-11552,Portable External SSD 1TB,global_ecommerce_sales.csv,6.86,2023-04-16,59.24,10,2,169.97
209.9,Ahmed Miller,Technology,ORD-10330,Wireless Bluetooth Headphones,global_ecommerce_sales.csv,17.2,2023-04-17,486.56,5,6,1196.43
67.71,Barbara Thomas,Technology,ORD-10769,Wireless Bluetooth Headphones,global_ecommerce_sales.csv,21.43,2023-04-18,252.8,0,9,609.39
171.32,Clara Oliveira,Technology,ORD-10427,Noise Cancelling Earbuds,global_ecommerce_sales.csv,9.46,2023-04-19,93.33,15,2,291.24
82.93,Carlos Wang,Technology,ORD-11810,Wireless Bluetooth Headphones,global_ecommerce_sales.csv,12.36,2023-04-19,49.84,20,3,199.03
57.09,Li White,Technology,ORD-11212,Webcam HD 1080p,global_ecommerce_sales.csv,11.38,2023-04-20,57.13,15,4,194.11
